Name,Ingredients,Instructions,vegan,gluten-free,vegetarian,fruit
Creamy beetroot soup (for 4 servings),"['750 g red beets', '1 large onion', 'olive oil', '1 liter vegetable broth', '1 cup cream', '1 bunch dill', 'salt, pepper', '150 g feta cheese']","['Peel and dice the beetroot.', 'Peel the onion and chop into small cubes. Sauté briefly in olive oil.', 'Briefly sauté the beetroot with the onion.', 'Pour in vegetable broth and cook gently for about 25 minutes until tender.', 'Add cream and purée everything.', 'Wash and finely chop dill; stir into the soup.', 'Season with salt and pepper.', 'Before serving, sprinkle diced feta over the soup.']",False,True,True,False
Quince compote (for 4 servings),"['4 quinces', '400 ml water', '200 ml white wine', '1 cinnamon stick (about finger length)', '4-6 tablespoons brown sugar']","['Peel quinces thinly, cut into eighths, remove cores.', 'Simmer gently with water, wine, cinnamon, sugar, and cores under closed lid for about 60 minutes.', 'Once quinces are soft but not falling apart: remove quinces from the broth into a bowl, let juice simmer for another 10 minutes.', 'Pour juice through a sieve over the fruit.']",True,True,True,False
Strawberry Bruschetta (for 4 servings),"['1/2 Ciabatta bread or wholegrain baguette', '4 tbsp butter', '300 g strawberries', '125 g cream cheese', '½ tsp vanilla sugar', '1 tsp lemon juice', '2 tsp grated dark chocolate', '1 tsp sugar', '4 tbsp chopped pistachios']","['Cut bread diagonally into 1 cm thick slices.', 'Toast slices in hot butter on both sides.', 'Wash, clean and puree 150g strawberries with a hand blender.', 'Mix half of the cream cheese in a bowl with the strawberry puree and vanilla sugar.', 'Mix the remaining cream cheese with dark chocolate, sugar and lemon juice.', 'Spread half of the bread slices with the strawberry cream cheese and the other half with the chocolate cream cheese.', 'Cut the remaining strawberries into thin slices and arrange them on the bread slices.', 'Sprinkle chopped pistachios on top.']",False,False,True,False
Banana Pancakes (for 4 servings),"['3 ripe, firm bananas', '4 tbsp butter', '8 dried prunes (pitted)', '1 untreated orange (juice and peel)', '4 eggs', '1 tbsp brown sugar', '4 tbsp flour', '4 tbsp buttermilk', 'Cinnamon-sugar mixture to taste']","['Slice bananas, quarter dried plums', 'Mix fruit with orange juice and grated orange zest', 'Whisk eggs and mix with sugar, flour, and buttermilk', 'Heat butter in a non-stick pan, pour ¼ of the batter into it and spread ¼ of the fruit mixture on top', 'Cook pancakes over medium heat until golden brown and crispy on both sides', 'Serve warm sprinkled with cinnamon and sugar.']",False,True,True,False
Polenta slices with plum compote,"['1/8 l Milk', '1 l Water', 'Salt', '250 g Polenta (cornmeal)', '3 Egg Yolks', '75 g Raisins', '1 medium Pear', '500 g Plums', 'Juice and Zest of ½ Lemon', '2 Cloves', '1 pinch of Cinnamon', '5 tbsp Sugar', '4 tbsp Butter']","['Bring ½ liter of milk, water, and a pinch of salt to a boil in a pot. Slowly stir in the cornmeal evenly. Let it simmer gently for about 25 minutes in an open pot, stirring occasionally.', 'Finally, stir in the egg yolk and raisins. Pour into a greased, flat square dish about 2 cm high. Smooth the mixture and let it firm up.', 'Peel, quarter, and core the pear. Pit and halve the plums.', 'In a pot, simmer the pear and plums in ½ liter of water, lemon juice, a piece of lemon zest, cloves, cinnamon, and 3 tablespoons of sugar for 5 to 10 minutes. Remove the cloves and lemon zest after cooling.', 'Cut the cold polenta into squares and fry in butter until golden brown on both sides. Serve with the plum compote.']",False,True,True,False
Zucchini fritters with radish quark (8 fritters),"['1 onion', '3 small zucchinis (400g)', '600g potatoes', '50g medium-aged Gouda cheese', '1 egg', 'Salt, pepper, grated nutmeg', '4 tbsp olive oil']","['Finely dice onion. Coarsely grate zucchini and peeled potatoes.', 'Grate Gouda cheese and mix with the egg. Add onion, grated zucchini and potatoes and mix everything well. Season to taste.', 'Heat oil in a pan and fry eight patties over medium heat. About 5 minutes per side.', 'Finely chop garlic or press through a garlic press. Mix into the quark. Stir in the milk until smooth.', 'Finely grate apple and drizzle with lemon juice. After washing, cut radishes into fine strips. Mix both into the quark. Sprinkle with finely chopped chives.', 'Serve zucchini patties together with the quark.']",False,True,True,False
Zucchini-Dill Vegetable (for 4 servings),"['1 medium-sized onion', 'Butter', '4 - 5 large zucchinis', '250 ml vegetable broth', '2 cups sour cream', 'Juice of half a lemon', '3 bunches of dill (or 1½ packets of frozen)', 'Salt and pepper']","['Chop onions into small pieces and sauté in butter in a large pan until translucent.', 'Cut zucchini into small pieces and add them to the pan. Sauté briefly.', 'Add vegetable broth and let everything simmer over medium heat for 10-15 minutes.', 'Meanwhile, finely chop dill; set aside some leaves for garnish.', 'Add sour cream and the finely chopped dill to the zucchini. Do not cook further.', 'Season with lemon juice, salt, and pepper to taste.']",False,True,True,False
Stuffed Savoy Cabbage Parcels (for 4 servings),"['100 g rice', 'salt', '12 small leaves of savoy cabbage', '½ l vegetable broth', '100 g mushrooms', '1 onion', '2 tomatoes', 'about 75 g bean sprouts', '4 tbsp soy sauce', 'pepper']","['Cook rice in salted water.', 'Cook cabbage leaves for about 5 minutes. After draining, trim or remove the stem ends.', 'Clean and dice mushrooms and onions.', 'Score tomatoes, place in boiling water for 1 minute, then shock in cold water and peel. Finely dice afterwards.', 'Mix diced vegetables with rice, season with soy sauce and pepper.', 'Place mixture on the cabbage leaves and roll into packets. Tie with kitchen twine.', 'Steam over vegetable broth in a sieve on low heat for about 35 minutes. Cover the sieve with a lid while steaming. ']",True,True,True,True
Baked red cabbage (for 4 servings),"['1 head of red cabbage', 'Salt', '4 tbsp white wine vinegar', '2 onions', '1 chili pepper', '1 apple', '100g butter', '400g potatoes', '1/8 liter white wine', '1/8 liter vegetable broth', 'coarsely ground pepper']","Remove the outer leaves of the red cabbage, cut the head in half, and cut out the core. Separate the cabbage into individual leaves and remove the thick white ribs. Bring salted water to a boil and add vinegar. Cook the red cabbage leaves in it for about 5 minutes. Then rinse with cold water and let cool. Cut the cabbage leaves into thin strips. Peel and dice the onions. Finely chop the chili peppers. Cut the apple into small cubes. In a large flat pot, melt half of the butter. Sauté the onions until translucent. Add the chili peppers and apple pieces and sauté for about 5 minutes. Add the sliced red cabbage and sauté for 10 minutes. Season with salt and pepper. Grease a heatproof dish with butter and spread the red cabbage in it. Peel the potatoes, slice them very thinly, and place them on top of the red cabbage mixture. Bake everything in a preheated oven at 200°C. After 15 to 20 minutes, remove from the oven, pour vegetable broth and white wine over it, sprinkle with coarse pepper. Place some butter flakes on the potato slices and bake in the oven for 40 minutes.",False,True,True,False
Tomato Pancakes (for 4 servings),"['150 g flour', '125 ml milk', '2 eggs', '125 g grated Emmental cheese', '2 tomatoes', '1 small zucchini', '50 g green olives pitted', 'Vegetable oil']","['Mix flour and milk, slowly add the eggs.', 'Stir in grated cheese. Let the dough rest for 10 minutes.', 'Score the tomatoes, briefly scald with boiling water, rinse with cold water, and peel.', 'Remove the seeds from the tomatoes and chop into small cubes.', 'Dice the zucchini, finely chop the olives.', 'Fold vegetables and olives into the dough.', 'Fry pancakes from the dough in hot oil.']",False,True,True,False
Teltow turnips (for 4 servings),"['700 g Teltower turnips', '3 tbsp Butter', '50 ml vegetable broth', 'Salt, pepper', 'Juice of 2 lemons', '2 tbsp Honey', '50 g chopped walnuts']","['Wash and peel turnips. Cut into small cubes.', 'Cook in boiling salted water for about 3 minutes. Drain.', 'Melt butter in a pan. Toss turnips in it and pour broth over them. Cook covered for about 5 minutes. Season with salt and pepper.', 'Once the cooking liquid has evaporated, add lemon juice, honey, and chopped walnuts to the pan. Toss the vegetables in the mixture until all pieces are coated.']",False,True,True,False
Sweet and sour turnips (for 4 servings),"['1 kg turnips', '2 onions', '2 tbsp oil', '½ L vegetable broth', '½ tbsp apple syrup', '1 bunch chives', '50 ml heavy cream', 'salt', 'lemon juice']","['Peel and cut swedes into uniform pieces (1-2 cm).', 'Peel and finely chop onions.', 'Heat oil in a large pot, cook onion pieces until glassy.', 'Add swede cubes and cook for about 3 minutes.', 'Add broth and apple preserve, let everything simmer with the lid on for about 20 minutes.', 'Cut chives into small rolls.', 'Add cream and chives to the vegetables. Bring to a boil, season with salt and lemon juice.']",False,True,True,False
Eggplant casserole (for 4 servings),"['250 g Penne', '2 large eggplants (500 g)', '300 g vine tomatoes', '1 bunch of spring onions', 'Olive oil', '1 can of tomato paste (50 g)', '1/8 l vegetable broth', '150 g sheep's cheese (or feta)', '½ pot of fresh rosemary', '50 g flour', 'Pepper']","- Cook pasta until al dente and set aside.
- Clean and slice the eggplants into thick slices, then sprinkle with salt and let sit covered.
- Clean and wash the spring onions, then cut into thin rings.
- Sauté the onions in 1-2 tablespoons of olive oil until translucent. Add tomato paste and vegetable broth, bring to a boil.
- Mix the pasta with the tomato sauce.
- Cut the feta cheese into cubes. Wash and chop the rosemary leaves.
- Pat dry the eggplant slices and coat them in flour. Fry the slices in hot oil, turning occasionally, until golden brown.
- Briefly place the tomatoes in boiling water until the skin cracks. Peel the tomatoes and slice them.
- In a greased baking dish, layer half of the eggplant, tomatoes, feta cheese, and rosemary. Season with pepper. Add the pasta, then top with the remaining vegetables, feta cheese, and rosemary.
- Bake in a preheated oven at 180-200°C for about 30 minutes.",False,True,True,False
Baked kohlrabi (serves 4),"['4 Kohlrabi', '400 ml vegetable broth', '1 bunch of basil', '200 g medium-aged Gouda cheese', '1 clove of garlic', '1 onion', '1 tbsp butter', '1 tbsp flour', '1 cup heavy cream', 'Salt']","Peel and halve the kohlrabi. Cut shallow slits in the round side at a distance of ½ cm.

Cook in the broth for 10 - 15 minutes. Then let it cool down. Save the broth.

Rinse and pat dry the basil. Pluck off the leaves and stick them into the slits of the kohlrabi. However, reserve about half of the basil leaves.

Place the kohlrabi halves in a baking dish. Slice the cheese and lay it over the kohlrabi.

Bake in a preheated oven at about 200°C for approximately 15 minutes.

Meanwhile, peel and finely chop the garlic and onion. Sauté in hot butter. Sprinkle with flour and sauté together. Add 250 ml of the reserved vegetable broth and cream. Let it cook for about 10 minutes.

Finely chop the remaining basil, some tender kohlrabi leaves, and the remaining cheese, and add it to the sauce. Season with salt and pepper.

Serve the kohlrabi in the sauce. Salt potatoes go well with it.",False,True,True,True
Pumpkin Quiche (1 baking tray),"['250 g flour', '50 g freshly grated Parmesan cheese', '100 g cold butter', 'Salt', '4-6 tbsp ice water']","['Chop flour, parmesan, butter, and salt with a knife. Add ice water and quickly knead everything into a dough.', 'Roll out the dough thinly on a little flour, line the greased baking dish with it. Prick the bottom. Chill for 30 minutes.', 'Cook pumpkin cubes in water until soft. Drain through a sieve, collecting the cooking water.', 'Bring 125 ml of cooking water to a boil with cream, cornmeal, and clove while stirring. Cook thickly for about 10 minutes over low heat. Remove the clove. Season with salt, pepper, and nutmeg. Let cool.', 'Whisk eggs with grated cheese.', 'Strain pumpkin through the sieve into the corn mixture, mix with the egg-cheese mixture.', 'Spread pumpkin mixture on the dough base. Bake at 220°C in the lower part of the oven for 30 to 40 minutes.']",False,True,True,True
Kale fritters (for 4 servings),"['15 g dried mushrooms', '400 g potatoes', 'Salt', '500 g kale', '1 onion', '½ tsp marjoram', '3 eggs', '4 tbsp breadcrumbs', '150 g plain yogurt', 'Marjoram, salt, pepper', 'Oil']","['Soak mushrooms in warm water for about 30 minutes.', 'Boil unpeeled potatoes for 20 minutes.', 'Cook kale in plenty of salted water for 10 minutes. Drain in a sieve.', 'Peel and coarsely grate the potatoes. Squeeze dry and chop the kale. Squeeze out excess liquid from the mushrooms, possibly chop them. Peel and finely dice the onions.', 'Mix the ingredients together with eggs and breadcrumbs. Season with salt.', 'Season yogurt with marjoram, salt, and freshly ground pepper.', 'Fry small pancakes in hot oil from the batter. Serve hot with yogurt sauce.']",False,True,True,True
Roasted fennel (for 4 servings),"['4-5 bulbs of fennel (800 g)', 'Salt', '4 tbsp sunflower oil', 'Pepper', '1 tbsp honey', '40 g walnut halves']","['Cut the fennel in half and remove the core.', 'Cook the fennel halves in a quarter liter of salted water for about 5 minutes.', 'Drain the cooking water, let the fennel drip off, while collecting the broth.', 'Sear the fennel in hot oil.', 'Mix 1/8 liter of the fennel broth with salt, pepper, and honey. Add everything to the pan. Simmer for about 3 minutes.', 'Lightly roast the walnuts without fat and add them to the vegetables.']",False,True,True,True
Green beans with tomatoes (for 4 servings),"['300 g millet', '¾ l water', 'Salt', '750 g green beans', '4 tomatoes', '2 tbsp butter', '15 g ginger', '1 clove of garlic', '1 tsp turmeric (yellow root)', '½ tsp cayenne pepper', '1 tsp ground coriander', '125 ml vegetable broth']","['Wash the millet, bring to a boil with water and salt.', 'Let it simmer for 10 to 15 minutes.', 'Let it swell for 15 minutes with a closed lid.', 'In the meantime:', 'Wash and trim the green beans, cook in boiling water for about 8-10 minutes until al dente and immediately shock in ice water.', 'Core and dice the tomatoes.', 'Grate the ginger, finely chop the garlic.', 'Sauté ginger, garlic, turmeric, pepper, and coriander in melted butter for about 1 minute.', 'Add tomatoes and toss in the spiced butter until evenly coated.', 'Add vegetable broth. Cook with an open lid for about 10 minutes until the sauce thickens.', 'Add beans and let simmer over moderate heat for about 5 minutes.', 'Serve the bean-tomato vegetable together with the millet.']",False,True,True,True
Colorful potato salad (for 4 servings),"['600 g potatoes, waxy', '2 leeks', '4 stalks of celery', '1 yellow bell pepper', '1 bunch of radishes', '60 g chopped walnuts', '1/8 l vegetable broth', '100 g yogurt', '50 g sour cream', '2 tbsp walnut oil (or other vegetable oil)', '1-2 tbsp balsamic vinegar', 'Salt and pepper']","['Wash potatoes, cook until firm and peel. Cut into cubes.', 'Clean and wash leeks and celery. Cut into very fine slices.', 'Quarter, wash and clean the bell pepper; cut into small pieces.', 'Cut radishes into thin slices.', 'Mix the chopped vegetables and walnuts with the potato cubes.', 'Pour the hot broth over the salad, mix everything well and let it cool.', 'Mix yogurt, sour cream, oil and vinegar to a creamy sauce. Season with salt and pepper.', 'Gently mix salad and sauce.']",False,True,True,True
Baked endives (for 4 servings),"['½ bunch of flat-leaf parsley', '150 g of sour cream', '½ tsp of dried thyme', '1 pinch of dried oregano', '4 tbsp of grated cheese (Butterkäse, Gouda, Emmental)', 'Salt and pepper', '4 large endives']","['Preheat oven to 200°C. Finely chop parsley leaves.', 'Mix sour cream with thyme, oregano, parsley, salt, pepper, and grated cheese.', 'Cut chicory in half, remove the core. Wash and let halves drip off.', 'Place chicory halves in a shallow baking dish, cover with the sauce and bake for 20 minutes.']",False,True,True,True
Mangold-Spaghetti (for 4 servings),"['600 g chard', '400 g spaghetti', '2 onions', '1 clove of garlic', '3 - 4 tomatoes', 'butter', '250 ml vegetable broth', '100 g creme fraiche or sour cream', 'salt', 'black pepper']","['Clean, wash and drain the chard. Cut out the white stems.', 'Set aside two to three tender leaves, and slice the remaining leaves into strips.', 'Cook spaghetti al dente and drain.', 'Meanwhile, finely chop onions and garlic. Dice tomatoes.', 'Sauté onions and garlic in butter until translucent, add chard strips and fill up with vegetable broth. Cook for about five minutes over low heat.', 'Add creme fraiche and puree everything finely. Season with salt and pepper.', 'Slice the remaining chard leaves into thin strips.', 'Fold the spaghetti into the chard sauce, sprinkle with chard strips and tomato cubes.']",False,True,True,True
Parsley carrots (for 4 servings),"['4 - 6 potatoes', '1 kg carrots', '500 ml vegetable broth', '1 large bunch of flat-leaf parsley', '100 g butter']","['Clean and peel carrots if necessary, and slice them.', 'Peel and dice potatoes.', 'Cook everything in a flat pot with vegetable broth with the lid closed.', 'Shortly before the end of the cooking time, add chopped parsley and butter to the carrots and finish cooking with the lid open. The liquid should evaporate.', 'Season with salt.']",False,True,True,True
Arugula Crêpes (4 portions),"['200 g flour', '500 ml milk', '4 eggs', 'salt', '50 g arugula', '4 sun-dried tomatoes in oil', '2 fresh tomatoes', '2 tbsp oil', '200 g butter cheese', 'salt and pepper']","['Mix flour, milk, and eggs to create a crepe batter.', 'Heat oil in a pan. Bake crepes from the batter and keep warm stacked on top of each other.', 'Wash and dry arugula. Wash fresh tomatoes and cut into eighths. Drain sundried tomatoes (saving the oil in a cup) and cut into strips.', 'Coarsely grate cheese.', 'Mix arugula, tomatoes, and cheese shavings together with sundried tomato oil. Season with salt and pepper.', 'Place salad in the middle of each crepe and roll up. Serve warm.']",False,True,True,True
Sauerkraut-Schupfnudeln (for 4 servings),"['500 g floury potatoes (also possible from the day before)', 'around 125 g flour (plus extra flour for dusting hands and work surface)', '2 eggs', 'Salt, nutmeg', 'Butter', '500 g sauerkraut']","['Peel and cook the potatoes.', 'After draining the water, steam the potatoes in the pot.', 'Press the potatoes through the potato ricer onto the flour.', 'Thoroughly knead the mass with the eggs, season with salt and nutmeg.', 'Form the mass into Schupfnudeln and place them in boiling salted water. When the Schupfnudeln are cooked, they will rise to the surface and can be skimmed off with a slotted spoon.', 'Fry the cooked Schupfnudeln in butter until golden brown.', 'In the meantime, heat up the sauerkraut.', 'Mix the sauerkraut and Schupfnudeln on the plate before serving.']",False,True,True,True
Sharp green beans (for 4 servings),"['750 g green beans', '1 medium-sized onion', '4 large vine tomatoes', '2 garlic cloves', '60 ml olive oil', '1 pinch of sugar', '2 small red chili peppers', 'Salt', '100 ml water']","['Wash beans and trim ends.', 'Finely chop onions. Dice tomatoes. Finely cut garlic.', 'Heat oil in a pot and fry onions until golden. Add tomatoes and simmer for two minutes.', 'Add sugar and chili, season with salt to taste.', 'Add beans and sauté over high heat for a few minutes. Add garlic.', 'Deglaze with water. Cover and simmer over medium heat for about 30 minutes.']",True,True,True,False
Asparagus Risotto (for 4 servings),"['500 g white asparagus', '1 bunch of spring onions', '1.5 l vegetable broth', '3 tbsp almond flakes', '4 tbsp butter', '400 g risotto rice', '100 ml white wine', 'Salt, black pepper']","['Wash, peel, and cut asparagus diagonally into thick pieces.', 'Clean, wash, and cut spring onions into fine rings.', 'Bring vegetable broth to a boil and keep warm over low heat.', 'Dry-roast almond slivers, stirring constantly.', 'Sauté half of the almonds, asparagus, and spring onions in a large pot with 1 tbsp of butter.', 'After about 2 minutes, add rice and let it become translucent while stirring.', 'Add white wine and let it simmer briefly.', 'Pour in about one-third of the vegetable broth. Gradually add the rest of the broth while stirring. Let it simmer over low heat, stirring occasionally. The risotto is ready and creamy after about 20 minutes.', 'Stir in the remaining butter and season with salt and pepper. Sprinkle with the remaining almond slivers before serving.']",False,True,True,True
Asparagus with thyme and mustard foam (for 4 servings),"['1.5 kg green and white asparagus', '6 egg yolks', '3 - 4 tbsp white wine', '100 ml vegetable broth', 'Salt and pepper', '3 tsp medium-hot mustard', '1 bunch fresh thyme', '250 g fresh mushrooms', '4 tbsp butter']","'Peel asparagus: Peel white asparagus completely, green asparagus only in the lower stem area.', 'Cook until al dente in a large pot of water with a pinch of salt and sugar each (Note: Green asparagus requires less time).', 'Whisk egg yolks with white wine until frothy in a double boiler.', 'Gradually add vegetable broth, fold in 2 tbsp of butter, and season with salt and pepper.', 'Stir in mustard and freshly plucked thyme leaves to taste.', 'Clean mushrooms, slice them, and briefly sauté in the remaining butter.', 'Arrange asparagus on preheated plates with the thyme-mustard sauce.', 'Sprinkle sautéed mushrooms and some fresh thyme leaves on top.'",False,True,True,True
Spinach and Feta Casserole (serves 4),"['1 kg spinach (raw)', '500 g spiral noodles', '1 container of cream', '2 eggs', 'Salt, pepper, nutmeg', '200 g creamy feta cheese']","['Clean, wash, and place spinach wet in a dry, hot pot. Sauté while stirring until it wilts. Set aside in a sieve.', 'Cook pasta in boiling salted water until al dente.', 'Mix eggs with cream and season with spices.', 'In a baking dish, mix the pasta and spinach; also distribute chopped feta.', 'Evenly pour the egg-cream mixture over it all and bake for about 20 minutes at medium heat in the oven.']",False,True,True,True
Gooseberry cake,"['375 g flour', '1 tsp baking powder', '175 g butter', '100 g brown sugar', '2 eggs']","Knead flour, baking powder, butter, sugar, and two eggs into a shortcrust pastry. Let it rest covered in the refrigerator for at least 30 minutes.
Separate egg white and egg yolk. Beat egg white until stiff.
Cook a firm pudding from custard powder, milk, water, and egg yolk. Let it cool slightly.
Fold beaten egg white, quark, and sugar into the pudding mixture; chill.
Grease a baking sheet. Roll out the shortcrust pastry evenly on it.
Spread the quark cream on the pastry. Place gooseberries (washed, possibly slightly chopped) on top of the quark mixture.
Knead flour, butter, sugar into streusel, spread on the cake.
Bake at around 180°C for 50-60 minutes.",False,True,True,True
Easter bread braided into a plait.,"['500 g wholemeal flour', '1 cube of yeast', '3 - 4 tbsp honey', '200 ml warm milk', '100g butter (warm)', 'grated lemon zest, a pinch of salt', '150 g coarsely chopped almonds (reserve some for sprinkling)', '1 egg yolk']","['Put flour in a bowl and make a well in the center.', 'Dissolve yeast in some of the honey and some of the warm milk. Pour into the well in the flour and let rise for about 20 minutes.', 'Knead the dough with butter, remaining honey, remaining milk, salt, lemon zest, and chopped almonds until it comes off the bottom of the bowl.', 'Shape into three rolls and braid into a braid. Let rise again for 20 minutes on a greased baking sheet.', 'Brush the braid with beaten egg yolk and sprinkle remaining almonds on top.', 'Bake in a preheated oven at 200°C (392°F) for 40 to 50 minutes.']",False,True,True,False
Gingerbread (1 baking sheet),"['350 g whole wheat flour', '300 g brown sugar', '75 g candied orange peel', '75 g candied lemon peel', '100 g ground hazelnuts', '3 tsp gingerbread spice mix', 'pinch of ground cloves', '1 tbsp vanilla powder', '1 packet baking powder', '150 g butter', '250 ml milk', '2 tbsp honey', '4 eggs']","['Mix flour, sugar, candied orange peel, candied lemon peel, hazelnut flour, spices, and baking powder in a large bowl.', 'Heat butter in a small pot or in a double boiler until it is melted but not browned.', 'Combine milk, melted butter, honey, and eggs.', 'Pour the liquid mixture into the dry ingredients and mix well.', 'Spread the gingerbread mixture on a greased baking sheet and bake at 200°C for about 20 minutes.', 'Cut into diamonds (or other shapes) while still warm.', 'Let dry for at least one day before storing.']",False,False,True,False
Dandelion salad (for 4 servings),"['2 tbsp fresh lemon juice', '3 tbsp sunflower oil/canola oil', '1 tsp mustard', '2 tbsp vegetable broth', '1 pinch of honey', 'salt and pepper', '2 eggs', '100 g radishes', '250 g mushrooms', '3 tbsp sunflower seeds', '1 bunch of chives, finely chopped', '250 g young dandelion leaves']","'Mix lemon juice, oil, mustard, vegetable broth, honey, salt, and pepper to make salad dressing.', 'Hard boil eggs, peel, and cut into small cubes.', 'Clean and thinly slice radishes and mushrooms, then toss in lemon juice.', 'Add radishes, eggs, mushrooms, sunflower seeds, and chives to the dressing and mix.', 'Wash dandelion leaves, pat dry, and tear into pieces. Gently fold into the salad.'",False,True,True,False
Asparagus and Strawberry Salad (for 4 servings),"['1 kg white asparagus (including broken pieces)', '500 g fresh young spinach', '500 g strawberries', '1 bunch of cress', '2 tbsp white balsamic vinegar', '3 tbsp apple juice', '4 tbsp sunflower oil', 'Salt, pepper']","['Peel asparagus, cut diagonally into 4 cm long pieces, cook until al dente and let cool.', 'Clean, wash, spin and tear spinach into pieces.', 'Wash strawberries and cut into slices or quarters.', 'Wash and pat dry cress.', 'Whisk vinegar and apple juice together, slowly drizzle in oil while stirring.', 'Season generously with salt and pepper.', 'Place asparagus, spinach, strawberries, and cress in a bowl.', 'Just before serving, pour the dressing over the salad ingredients and mix gently. ']",True,True,True,False
Cauliflower salad (for 4 servings),"['1/2 head of cauliflower', '1 bunch of radishes', '1 egg yolk', '1 tsp mustard', '1 tbsp white wine vinegar', 'Juice of an untreated lemon', '3 tbsp sunflower oil', '1 ripe avocado', 'Salt and pepper', '1/2 cup of mung bean sprouts (or soy)']","[Grate cauliflower roughly, slice radishes thinly. Drizzle half of the lemon juice over it.', 'Stir egg yolk with mustard, vinegar, and lemon juice until creamy. Slowly add oil.', 'Peel avocado, mash with a fork and stir into the dressing.', 'Mix dressing with cauliflower, radishes, and sprouts.']",True,True,True,False
Lamb's lettuce with orange dressing (for 4 servings),"['1 orange', '1-2 tbsp mustard', '100 ml vegetable broth', '1 bunch radishes', '500 g lamb's lettuce']","['Squeeze out the orange and collect the juice.', 'Mix orange juice and mustard with vegetable broth to taste.', 'Wash and clean the radishes, then slice them.', 'Mix radishes and lamb's lettuce; pour the dressing over just before serving.']
",False,True,False,False
Black salsify salad with carrots (for 4 servings),"['300 g\xa0salsify (black salsify)', '2 tbsp\xa0apple cider vinegar', '1 tbsp\xa0sunflower seeds', 'juice of 1 lemon', '3 tbsp\xa0orange juice', '4 tbsp\xa0sunflower oil', '1 tsp\xa0honey', 'salt, pepper', '300 g\xa0carrots', '1\xa0zucchini', '½ bunch\xa0watercress']","['Peel black salsify roots and immediately soak them in vinegar water for about 10 minutes.', 'Toast sunflower seeds without fat in a pan.', 'Mix lemon and orange juice with oil and honey. Season with salt and pepper.', 'Roughly grate carrots and zucchini. Remove black salsify from the water and let drain. Grate roots. And mix immediately with the dressing together with zucchini and carrots.', 'Before serving, mix with cress leaves and sunflower seeds.']",False,True,True,False
Chinese cabbage with peanut sauce (for 4 servings),"['1 large napa cabbage (500 g)', '2 oranges', '2 tbsp peanut butter', '150 g sour cream', '1 tbsp lemon juice', 'salt, pepper, Tabasco']","['Cut Chinese cabbage into fine strips. Peel one orange thoroughly and cut out the segments between the membranes.', 'Juice the second orange. Add juice and orange segments to the Chinese cabbage.', 'Mix peanut butter with cream. Season with lemon juice, salt, pepper, and Tabasco. Mix sauce well with the salad and let it marinate for 30 minutes.']",False,True,True,False
Herring salad (for 4 servings),"['300 g\xa0Potatoes', '3\xa0eggs', '6\xa0herring fillets', '2\xa0apples', '3\xa0pickles', '½ cup sour cream', 'Salt, pepper, sugar']","['Boil potatoes with skin until firm. Hard-boil eggs.', 'Soak and pat dry herring fillets (if necessary). Cut into small pieces.', 'Peel and dice potatoes and eggs.', 'Peel and core apples. Cut apples and pickles into small cubes.', 'Mix all ingredients with sour cream.', 'Season with salt, pepper, and sugar.']",False,True,True,False
Peanut Soup (for 4 servings),"['2 carrots', '1 celeriac', '3 medium potatoes', '1 onion', '3 tbsp butter', '1 liter vegetable broth', '125 g crunchy peanut butter', '125 g cream', 'nutmeg, salt, pepper']","['Peel and cut carrots, celery, and potatoes into uniform pieces.', 'Peel and finely chop the onion. Heat butter in a large pot, sauté the onion until translucent. Add the vegetable broth.', 'Cook the chopped carrots, celery, and potatoes in the broth for about 30 minutes.', 'Remove the vegetables and purée them. Return the vegetable purée to the broth.', 'Add peanut butter, stir until smooth, and briefly bring to a boil.', 'Pour in the cream, season with nutmeg, salt, and pepper to taste.']",False,True,True,True
Celery Salad (for 4 servings),"['1 bunch of celery', '3 red apples', '1 head of lollo bianco or iceberg lettuce', '150g Emmental or other hard cheese', '1 bunch of curly parsley', 'Juice of one lemon', '3 tbsp sunflower oil', 'Salt, pepper']","['Clean and slice the celery stalks finely.', 'Remove the core from the apples and roughly slice them, tear the lettuce into pieces.', 'Mix the celery pieces, apple slices, and lettuce. Grate the Emmental cheese coarsely and mix it with the other ingredients.', 'Wash and finely chop the parsley.', 'Mix lemon juice and oil with pepper and salt, mix in the parsley. Pour everything over the salad and mix well.']",False,True,True,False
